year,manufacturer,fuelType,name,transmission,engine,mileage,listingPrice,variant,age
2018.0,Toyota,Petrol,Toyota Corolla 2018 for sale in Karachi,Automatic,1600cc,"68,000 km",4385000.0,Corolla,7.0
2024.0,Hyundai,Petrol,Hyundai Elantra 2024 for sale in Karachi,Automatic,2000cc,"14,500 km",6845000.0,Elantra,1.0
2022.0,Nissan,Hybrid,Nissan Dayz 2022 for sale in Karachi,Automatic,660cc,"31,000 km",3950088.0,Dayz,3.0
2021.0,Toyota,Hybrid,Toyota Corolla Cross 2021 for sale in Karachi,Automatic,1800cc,"28,000 km",12800000.0,Corolla Cross,4.0
2021.0,Daihatsu,Petrol,Daihatsu Mira 2021 for sale in Karachi,Automatic,660cc,"46,000 km",3950008.0,Mira,4.0
2018.0,Suzuki,Petrol,Suzuki Cultus 2018 for sale in Karachi,Automatic,1000cc,"120,000 km",2400000.0,Cultus,7.0
2021.0,Toyota,Petrol,Toyota Corolla 2021 for sale in Karachi,Automatic,1800cc,"54,000 km",6050000.0,Corolla,4.0
2016.0,Audi,Petrol,Audi A6 2016 for sale in Karachi,Automatic,1800cc,"60,000 km",12000000.0,A6,9.0
2018.0,Honda,Petrol,Honda City 2018 for sale in Karachi,Automatic,1500cc,"91,971 km",3700000.0,City,7.0
2019.0,Toyota,Petrol,Toyota Corolla 2019 for sale in Karachi,Automatic,1800cc,"56,000 km",5350000.0,Corolla,6.0
2006.0,Toyota,Petrol,Toyota Mark X 2006 for sale in Karachi,Automatic,2500cc,"105,845 km",4200000.0,Mark X,19.0
2020.0,Suzuki,Petrol,Suzuki Jimny 2020 for sale in Karachi,Manual,660cc,"87,000 km",4050000.0,Jimny,5.0
2024.0,KIA,Petrol,KIA Sportage 2024 for sale in Karachi,Automatic,2000cc,"14,000 km",7700000.0,Sportage,1.0
2023.0,Toyota,Diesel,Toyota Fortuner 2023 for sale in Karachi,Automatic,2800cc,"71,000 km",16200000.0,Fortuner,2.0
2023.0,Suzuki,Petrol,Suzuki Alto 2023 for sale in Karachi,Automatic,660cc,"17,600 km",3065000.0,Alto,2.0
2016.0,Toyota,Petrol,Toyota Corolla 2016 for sale in Karachi,Manual,1300cc,"54,000 km",3250000.0,Corolla,9.0
2020.0,Honda,Petrol,Honda City 2020 for sale in Karachi,Automatic,1500cc,"73,000 km",4300000.0,City,5.0
2022.0,Daihatsu,Petrol,Daihatsu Mira 2022 for sale in Karachi,Automatic,660cc,"10,000 km",3600000.0,Mira,3.0
2015.0,Daihatsu,Petrol,Daihatsu Mira 2015 for sale in Karachi,Automatic,660cc,"83,000 km",2280000.0,Mira,10.0
2016.0,Toyota,Petrol,Toyota Corolla 2016 for sale in Karachi,Automatic,1300cc,"138,000 km",3520000.0,Corolla,9.0
2018.0,Toyota,Petrol,Toyota Corolla 2018 for sale in Karachi,Automatic,1800cc,"5,120 km",5200000.0,Corolla,7.0
1981.0,Toyota,Petrol,Toyota Corolla 1981 for sale in Karachi,Manual,1500cc,"40,000 km",615000.0,Corolla,44.0
2019.0,Toyota,Hybrid,Toyota C-HR 2019 for sale in Karachi,Automatic,1800cc,"27,000 km",9400000.0,C-HR,6.0
2008.0,Toyota,Petrol,Toyota Passo 2008 for sale in Karachi,Automatic,1000cc,"79,000 km",1790000.0,Passo,17.0
2006.0,Toyota,Petrol,Toyota Belta 2006 for sale in Karachi,Automatic,1300cc,"110,000 km",1975000.0,Belta,19.0
2021.0,Suzuki,Petrol,Suzuki Alto 2021 for sale in Karachi,Automatic,660cc,"45,000 km",2685000.0,Alto,4.0
